id,title,text,category
1,Kenya Gains Independence from Britain,"Kenya officially gained independence from British colonial rule on December 12, 1963, with Jomo Kenyatta becoming the first Prime Minister. The independence celebrations were held at Uhuru Gardens in Nairobi, marking the end of decades of colonial administration. Kenya later became a republic on December 12, 1964.",Political
2,Jomo Kenyatta Becomes Kenya First President,"Jomo Kenyatta was sworn in as Kenya first President on December 12, 1964, when the country transitioned from a dominion to a republic. Kenyatta had been imprisoned by British colonial authorities during the Mau Mau uprising before independence. He served as president until his death in 1978 and is widely regarded as the founding father of the nation.",Political
3,Daniel arap Moi Assumes Presidency,"Daniel arap Moi became Kenya second President on August 22, 1978, following the death of Jomo Kenyatta. Moi who had served as Vice President led Kenya for 24 years until 2002. His tenure was marked by one-party rule under KANU economic challenges and significant human rights controversies.",Political
4,1982 Coup Attempt in Kenya,"On August 1, 1982, a faction of the Kenya Air Force attempted a coup against President Daniel arap Moi. The coup attempt failed within hours after the Army and General Service Unit remained loyal to the government. Several air force officers were killed many were court-martialed and the Kenya Air Force was subsequently disbanded.",Political
5,Kenya Transitions to Multi-Party Democracy,"In 1991, Kenya transitioned from a single-party state to a multi-party democracy following domestic and international pressure. President Moi repealed Section 2A of the Constitution which had banned opposition parties. The first multi-party elections were held in December 1992 though Moi won amid widespread allegations of electoral fraud.",Political
6,Mwai Kibaki Wins 2002 Presidential Election,Mwai Kibaki won Kenya 2002 presidential election in a landslide victory defeating KANU candidate Uhuru Kenyatta. Kibaki running under the National Rainbow Coalition received over 62 percent of the vote. His election ended 24 years of Daniel arap Moi rule and was seen as a major democratic milestone for Kenya.,Political
7,2007-2008 Post-Election Violence in Kenya,Following the disputed December 2007 presidential election between Mwai Kibaki and Raila Odinga Kenya erupted in widespread violence that lasted approximately two months. Over 1300 people were killed and more than 600000 were displaced from their homes. The crisis ended with a power-sharing agreement brokered by former UN Secretary-General Kofi Annan.,Political
8,Kenya Adopts New Constitution in 2010,"Kenya promulgated a new Constitution on August 27, 2010, replacing the independence constitution of 1963. The new constitution was approved by over 67 percent of voters in a referendum. Key changes included a devolved system of 47 counties a bicameral parliament and a strengthened Bill of Rights.",Political
9,Uhuru Kenyatta Wins 2013 Presidential Election,Uhuru Kenyatta won Kenya March 2013 presidential election becoming the country fourth president. Kenyatta son of founding father Jomo Kenyatta won with 50.07 percent of the vote narrowly avoiding a runoff against Raila Odinga. His election was notable as he was also facing charges at the International Criminal Court at the time.,Political
10,Kenya ICC Cases Collapse,The International Criminal Court cases against President Uhuru Kenyatta and Deputy President William Ruto related to the 2007-2008 post-election violence were dropped between 2014 and 2016. The ICC cited insufficient evidence and witness interference as reasons for withdrawing the charges. The collapse of the cases was a major political victory for the Kenyan government.,Political
