id,title,text,summary,category,author,published,url,source
1,Kenya Airways says Iran war has led to demand hike for its flights,Kenya Airways says demand for seats on its flights is now almost at 100 percent,Kenya Airways says demand for seats on its flights is now almost at 100 percent,Business,,"Mon, 23 Mar 2026 14:29:18 +0000",https://nation.africa/kenya/business/companies/kenya-airways-says-iran-war-has-led-to-demand-hike-for-its-flights-5400360,Nation Africa
2,Did cemetery crisis in Gusii region lead to mystery Kericho mass grave?,Neither Nyamira nor Kisii counties have a designated public cemetery.,Neither Nyamira nor Kisii counties have a designated public cemetery.,General,,"Mon, 23 Mar 2026 13:57:57 +0000",https://nation.africa/kenya/counties/did-cemetery-crisis-in-gusii-region-lead-to-mystery-kericho-mass-grave--5400028,Nation Africa
3,'Help! My husband withholds money when I decline sex',There is an underlying script in your marriage about male entitlement to sex.,There is an underlying script in your marriage about male entitlement to sex.,General,,"Mon, 23 Mar 2026 13:32:24 +0000",https://nation.africa/kenya/life-and-style/-help-my-husband-withholds-money-when-i-decline-sex--5400294,Nation Africa
4,Why adults grind their teeth and what it means,"Left untreated for long periods, teeth grinding can progress to tooth loss.","Left untreated for long periods, teeth grinding can progress to tooth loss.",General,,"Mon, 23 Mar 2026 13:30:38 +0000",https://nation.africa/kenya/life-and-style/why-adults-grind-their-teeth-and-what-it-means--5396414,Nation Africa
5,NG-CDF board on the spot over Sh243.5 billion school bursaries,Auditor-General says the board failed to ensure adequate and consistent monitoring.,Auditor-General says the board failed to ensure adequate and consistent monitoring.,News,,"Mon, 23 Mar 2026 13:13:47 +0000",https://nation.africa/kenya/news/ng-cdf-board-on-the-spot-over-sh243-5-billion-school-bursaries-5400166,Nation Africa
6,"Police rough up Justin Muturi, Eugene Wamalwa at Karen Police station after Tuju taken in",,,General,,"Mon, 23 Mar 2026 12:58:35 +0000",https://nation.africa/kenya/videos/police-rough-up-justin-muturi-eugene-wamalwa-at-karen-police-station-after-tuju-taken-in-5400256,Nation Africa
7,"Tuju taken in by police after resurfacing, lawyers say he was roughed up",Tuju earlier said he went into hiding because he feared for his life.,Tuju earlier said he went into hiding because he feared for his life.,General,,"Mon, 23 Mar 2026 13:10:35 +0000",https://nation.africa/kenya/counties/siaya/tuju-resurfaces-after-going-missing-says-he-was-in-hiding--5400016,Nation Africa
8,Ramadhan period exposes Mombasa's street families crisis,Leaders want the influx of street families addressed before it gets out of hand.,Leaders want the influx of street families addressed before it gets out of hand.,General,,"Mon, 23 Mar 2026 12:56:52 +0000",https://nation.africa/kenya/counties/mombasa/ramadhan-period-exposes-mombasa-s-street-families-crisis-5400248,Nation Africa
9,"Raphael Tuju has been injured and is unwell, his lawyer Ndegwa Njiru says",,,General,,"Mon, 23 Mar 2026 12:47:45 +0000",https://nation.africa/kenya/videos/raphael-tuju-has-been-injured-and-is-unwell-his-lawyer-ndegwa-njiru-says-5400262,Nation Africa
10,"Trump says US and Iran held talks, puts off threat to bomb power stations","Trump said the US and Iran have had ""very good and productive"" conversations.","Trump said the US and Iran have had ""very good and productive"" conversations.",News,,"Mon, 23 Mar 2026 11:55:31 +0000",https://nation.africa/kenya/news/world/trump-says-us-and-iran-held-talks-puts-off-threat-to-bomb-power-stations-5400148,Nation Africa
11,"Cartels infiltrate Ruto subsidised fertiliser plan, threaten food security",10 suspects have been arrested in Rift Valley and Western Kenya in the past two weeks.,10 suspects have been arrested in Rift Valley and Western Kenya in the past two weeks.,News,,"Mon, 23 Mar 2026 11:38:47 +0000",https://nation.africa/kenya/news/cartels-infiltrate-ruto-subsidised-fertiliser-plan-threaten-food-security-5400122,Nation Africa
12,"Eat now, pay never: Mandago in Sh1.1bn loans scandal",'This is a classic case of abuse of office where the former governor and his team took loans...,'This is a classic case of abuse of office where the former governor and his team took loans...,News,,"Mon, 23 Mar 2026 11:00:00 +0000",https://nation.africa/kenya/news/politics/eat-now-pay-never-mandago-in-sh1-1bn-loans-scandal--5399754,Nation Africa
13,Kenya’s new AI Bill pushes for strict rules on deepfakes and AI job takeovers,A Sh5m fine or two years in jail: Kenya is not playing when it comes to deepfakes and image...,A Sh5m fine or two years in jail: Kenya is not playing when it comes to deepfakes and image...,General,,"Mon, 23 Mar 2026 10:50:15 +0000",https://nation.africa/kenya/life-and-style/buzz/kenyas-new-ai-bill-pushes-for-strict-rules--5399744,Nation Africa
14,"Two worlds, one home: How men are rethinking caregiving","From Nakuru to Homa Bay, men are stepping into unpaid care work, confronting stigma and proving...","From Nakuru to Homa Bay, men are stepping into unpaid care work, confronting stigma and proving...",News,,"Mon, 23 Mar 2026 10:00:00 +0000",https://nation.africa/kenya/news/gender/two-worlds-one-home-how-men-are-rethinking-caregiving-5399786,Nation Africa
15,PHOTOS: Homes at posh Elgon View estate submerged after River Sosiani bursts its banks,Residents were caught off guard when the River Sosiani burst its banks.,Residents were caught off guard when the River Sosiani burst its banks.,General,,"Mon, 23 Mar 2026 09:45:00 +0000",https://nation.africa/kenya/counties/uasin-gishu/photos-homes-at-posh-elgon-view-estate-submerged-after-river-sosiani-bursts-its-banks-5399934,Nation Africa
16,Oburu Oginga calls for swift probe as Raphael Tuju reported missing,,,General,,"Mon, 23 Mar 2026 08:55:49 +0000",https://nation.africa/kenya/videos/oburu-oginga-calls-for-swift-probe-as-raphael-tuju-reported-missing-5399910,Nation Africa
17,MCAs blast City Hall over two-week health procurement delays,'The fact that CEOs of hospitals have to wait for up to two weeks for approval to procure basic...,'The fact that CEOs of hospitals have to wait for up to two weeks for approval to procure basic...,News,,"Mon, 23 Mar 2026 08:21:47 +0000",https://nation.africa/kenya/news/politics/mcas-blast-city-hall-over-two-week-health-procurement-delays--5399760,Nation Africa
18,The high cost of keeping Kenya’s streetlights on,"To avoid hefty bills, counties are replacing Kenya Power with clean power.","To avoid hefty bills, counties are replacing Kenya Power with clean power.",General,,"Mon, 23 Mar 2026 08:00:00 +0000",https://nation.africa/kenya/counties/kiambu/the-high-cost-of-keeping-kenya-s-streetlights-on--5399756,Nation Africa
19,Iran war could add to Nigeria’s security troubles,"The war between Iran, Israel and the US may have far-reaching regional and global implications.","The war between Iran, Israel and the US may have far-reaching regional and global implications.",News,,"Mon, 23 Mar 2026 08:00:00 +0000",https://nation.africa/kenya/news/africa/iran-war-could-add-to-nigeria-s-security-troubles--5399820,Nation Africa
20,Counter-terrorism agency pushes interfaith dialogue as tool against radicalisation,"Pumwani Riyadha Mosque opened its doors to non-Muslims for Idd celebrations, allowing scholars...","Pumwani Riyadha Mosque opened its doors to non-Muslims for Idd celebrations, allowing scholars...",News,,"Mon, 23 Mar 2026 07:47:05 +0000",https://nation.africa/kenya/news/politics/counter-terrorism-agency-pushes-interfaith-dialogue-5399758,Nation Africa
21,Emurua Dikirr succession: Ng'eno widow bows out of parliamentary race,"""Ms Ng'eno will not be contesting...We have decided to release her from the rigours of the...","""Ms Ng'eno will not be contesting...We have decided to release her from the rigours of the...",General,,"Mon, 23 Mar 2026 07:30:00 +0000",https://nation.africa/kenya/counties/narok/emurua-dikirr-succession-ngeno-widow-bows-out--5399846,Nation Africa
22,Who are Iran’s new leaders? A look at 6 men wanted by the US,Trump administration announced a Sh1.29bn reward for information leading to the capture of...,Trump administration announced a Sh1.29bn reward for information leading to the capture of...,News,,"Mon, 23 Mar 2026 05:44:03 +0000",https://nation.africa/kenya/news/world/who-are-irans-new-leaders-a-look-at-6-men-wanted-by-the-us--5399784,Nation Africa
23,MPs block Musalia Mudavadi’s Sh280m office upgrade,"Office of the Prime Cabinet Secretary defends spending plan, saying it is crucial to accord it...","Office of the Prime Cabinet Secretary defends spending plan, saying it is crucial to accord it...",Business,,"Mon, 23 Mar 2026 03:00:00 +0000",https://nation.africa/kenya/business/mps-block-musalia-mudavadi-s-sh280m-office-upgrade-5399632,Nation Africa
24,County officials face civil jail over Sh1.2 billion fine,Judge warns that contemptuous disregard for court orders is an affront to the rule of law,Judge warns that contemptuous disregard for court orders is an affront to the rule of law,General,,"Mon, 23 Mar 2026 03:00:00 +0000",https://nation.africa/kenya/counties/kilifi/county-officials-face-civil-jail-over-sh1-2-billion-fine-5399218,Nation Africa
25,The war within: How sibling rivalries threaten unity of Ruto's broad-based coalition,"Infighting exposes deep rivalries, threatening cohesion and complicating Ruto’s re-election.","Infighting exposes deep rivalries, threatening cohesion and complicating Ruto’s re-election.",News,,"Mon, 23 Mar 2026 03:00:00 +0000",https://nation.africa/kenya/news/politics/the-war-within-how-sibling-rivalries-threaten-unity-of-ruto-s-broad-based-coalition--5399262,Nation Africa
